id,name,address,city,zip_code,county,full_address
U822000947,RESIDENCE,6100 PROCTOR,DETROIT,48210,WAYNE,"6100 PROCTOR, DETROIT, MI"
U822101245,RESIDENCE,5891 BEGOLE,DETROIT,48210,WAYNE,"5891 BEGOLE, DETROIT, MI"
U821706417,TIRE GARAGE,9208-12 MICHIGAN AVE,DETROIT,48210,WAYNE,"9208-12 MICHIGAN AVE, DETROIT, MI"
U821602371,VACANT PROPERTY,6935 EDWARD,DETROIT,48210,WAYNE,"6935 EDWARD, DETROIT, MI"
U821909928,VACANT RESIDENCE,4908 LIVERNOIS,DETROIT,48210,WAYNE,"4908 LIVERNOIS, DETROIT, MI"
U821909929,VACANT RESIDENCE,4912 LIVERNOIS,DETROIT,48210,WAYNE,"4912 LIVERNOIS, DETROIT, MI"
U821909930,VACANT RESIDENCE,4918 LIVERNOIS,DETROIT,48210,WAYNE,"4918 LIVERNOIS, DETROIT, MI"
U821709363,VICTORY MOTEL,9340 MICHIGAN,DETROIT,48210,WAYNE,"9340 MICHIGAN, DETROIT, MI"
U821512098,RESIDENCE,6350 FARNSWORTH,DETROIT,48211,WAYNE,"6350 FARNSWORTH, DETROIT, MI"
U821702318,RESIDENCE,5544 MCDOUGALL,DETROIT,48211,WAYNE,"5544 MCDOUGALL, DETROIT, MI"
U822103774,APARTMENT BUILDING,5061-5071 LAKEWOOD ST.,DETROIT,48213,WAYNE,"5061-5071 LAKEWOOD ST., DETROIT, MI"
U821602436,RESIDENCE,14854 GLENFIELD,DETROIT,48213,WAYNE,"14854 GLENFIELD, DETROIT, MI"
U821604653,RESIDENCE,12649 GLENFIELD,DETROIT,48213,WAYNE,"12649 GLENFIELD, DETROIT, MI"
U821604672,RESIDENCE,14220 GLENFIELD,DETROIT,48213,WAYNE,"14220 GLENFIELD, DETROIT, MI"
U821803056,RESIDENCE,5792 HOLCOMB,DETROIT,48213,WAYNE,"5792 HOLCOMB, DETROIT, MI"
U821900371,RESIDENCE,6415 IROQOUIS,DETROIT,48213,WAYNE,"6415 IROQOUIS, DETROIT, MI"
U821900475,RESIDENCE,6432 IROQUOIS,DETROIT,48213,WAYNE,"6432 IROQUOIS, DETROIT, MI"
U821900485,RESIDENCE,6433 IROQUOIS,DETROIT,48213,WAYNE,"6433 IROQUOIS, DETROIT, MI"
U821900497,RESIDENCE,6126 IROQUOIS,DETROIT,48213,WAYNE,"6126 IROQUOIS, DETROIT, MI"
U822001322,TOWNSEND STREET PEDESTRIAN BRIDGE (OVER I-94),INTERSECTION OF TOWNSEND ST. AND I-94,DETROIT,48213,48213,"INTERSECTION OF TOWNSEND ST. AND I-94, DETROIT, MI"
U821801450,VACANT PARTY STORE,10010 GRATIOT,DETROIT,48213,48213,"10010 GRATIOT, DETROIT, MI"
U821801451,VACANT SALON,10020 GRATIOT,DETROIT,48213,48213,"10020 GRATIOT, DETROIT, MI"
U821606526,VACANT STRUCTURE,6622-30 VAN DYKE AVE.,DETROIT,48213,48213,"6622-30 VAN DYKE AVE., DETROIT, MI"
U821608743,VACANT STRUCTURE,11719 CAMDEN,DETROIT,48213,48213,"11719 CAMDEN, DETROIT, MI"
U821505082,ABANDONED SCHEDULED FOR DEMOLITION,14363 DACOSTA,CITY,48214,48214,"14363 DACOSTA, CITY, MI"
U821505094,ABANDONED SCHEDULED FOR DEMOLITION,17534 MCDOUGALL,CITY,48214,48214,"17534 MCDOUGALL, CITY, MI"
U821708403,FORMER BURGER KING,25300 MICHIGAN AVENUE,DEARBORN,48214,48214,"25300 MICHIGAN AVENUE, DEARBORN, MI"
U821800287,CHARLOTTE APARTMENTS,624 CHARLOTTE,DETROIT,48214,48214,"624 CHARLOTTE, DETROIT, MI"
U821702688,RESIDENCE,4508 CRANE STREET,DETROIT,48214,48214,"4508 CRANE STREET, DETROIT, MI"
U822002164,RESIDENCE,4034 BENITEAU,DETROIT,48214,48214,"4034 BENITEAU, DETROIT, MI"
U822000555,VACANT RESIDENCE,2116 HARDING,DETROIT,48214,48214,"2116 HARDING, DETROIT, MI"
U822004357,BAYVIEW YACHT CLUB,100 CLAIRPOINTE,DETROIT,48215,48215,"100 CLAIRPOINTE, DETROIT, MI"
U821510407,COMMERCIAL FACILITY,14530 MACK,DETROIT,48215,48215,"14530 MACK, DETROIT, MI"
U822000357,EASTSIDE DETROIT ELDERLY LDHA,12801 MACK AVENUE,DETROIT,48215,48215,"12801 MACK AVENUE, DETROIT, MI"
U821702696,VACANT STRUCTURE,1072 MANISTIQUE,DETROIT,48215,48215,"1072 MANISTIQUE, DETROIT, MI"
U821702697,VACANT STRUCTURE,233 ASHLAND,DETROIT,48215,48215,"233 ASHLAND, DETROIT, MI"
